"landtype","spp","poolID","amountAtT0"
"471","ABIE.BAL","6",1043
"471","ABIE.BAL","7",2283
"471","ABIE.BAL","8",133
"471","ABIE.BAL","9",85
"471","ABIE.BAL","10",0
"472","ABIE.BAL","1",79
"472","ABIE.BAL","2",6
"472","ABIE.BAL","3",160
"472","ABIE.BAL","4",9
"472","ABIE.BAL","5",201
"472","ABIE.BAL","6",829
"472","ABIE.BAL","7",1740
"472","ABIE.BAL","8",138
"472","ABIE.BAL","9",82
"472","ABIE.BAL","10",0
"473","ABIE.BAL","1",68
"473","ABIE.BAL","2",10
"473","ABIE.BAL","3",153
"473","ABIE.BAL","4",11
"473","ABIE.BAL","5",223
"473","ABIE.BAL","6",893
"473","ABIE.BAL","7",1988
"473","ABIE.BAL","8",133
"473","ABIE.BAL","9",68
"473","ABIE.BAL","10",0
"474","ABIE.BAL","1",29
"474","ABIE.BAL","2",3
"474","ABIE.BAL","3",64
"474","ABIE.BAL","4",4
"474","ABIE.BAL","5",89
"474","ABIE.BAL","6",367
"474","ABIE.BAL","7",832
"474","ABIE.BAL","8",50
"474","ABIE.BAL","9",30
"474","ABIE.BAL","10",0
"475","ABIE.BAL","1",104
"475","ABIE.BAL","2",17
"475","ABIE.BAL","3",252
"475","ABIE.BAL","4",18
"475","ABIE.BAL","5",339
"475","ABIE.BAL","6",1440
"475","ABIE.BAL","7",3123
"475","ABIE.BAL","8",204
"475","ABIE.BAL","9",99
"475","ABIE.BAL","10",0
"476","ABIE.BAL","1",181
"476","ABIE.BAL","2",8
"476","ABIE.BAL","3",343
"476","ABIE.BAL","4",18
"476","ABIE.BAL","5",325
"476","ABIE.BAL","6",1553
"476","ABIE.BAL","7",3164
"476","ABIE.BAL","8",214
"476","ABIE.BAL","9",210
"476","ABIE.BAL","10",0
"477","ABIE.BAL","1",60
"477","ABIE.BAL","2",9
"477","ABIE.BAL","3",153
"477","ABIE.BAL","4",12
"477","ABIE.BAL","5",197
"477","ABIE.BAL","6",884
"477","ABIE.BAL","7",1985
"477","ABIE.BAL","8",107
"477","ABIE.BAL","9",66
"477","ABIE.BAL","10",0
"478","ABIE.BAL","1",74
"478","ABIE.BAL","2",7
"478","ABIE.BAL","3",160
"478","ABIE.BAL","4",10
"478","ABIE.BAL","5",196
"478","ABIE.BAL","6",851
"478","ABIE.BAL","7",1834
"478","ABIE.BAL","8",120
"478","ABIE.BAL","9",78
"478","ABIE.BAL","10",0
"479","ABIE.BAL","1",28
"479","ABIE.BAL","2",5
"479","ABIE.BAL","3",62
"479","ABIE.BAL","4",6
"479","ABIE.BAL","5",107
"479","ABIE.BAL","6",407
"479","ABIE.BAL","7",947
"479","ABIE.BAL","8",59
"479","ABIE.BAL","9",26
"479","ABIE.BAL","10",0
"480","ABIE.BAL","1",46
"480","ABIE.BAL","2",8
"480","ABIE.BAL","3",110
"480","ABIE.BAL","4",10
"480","ABIE.BAL","5",173
"480","ABIE.BAL","6",681
"480","ABIE.BAL","7",1561
"480","ABIE.BAL","8",94
"480","ABIE.BAL","9",47
"480","ABIE.BAL","10",0
"481","ABIE.BAL","1",89
"481","ABIE.BAL","2",5
"481","ABIE.BAL","3",161
"481","ABIE.BAL","4",8
"481","ABIE.BAL","5",204
"481","ABIE.BAL","6",788
"481","ABIE.BAL","7",1599
"481","ABIE.BAL","8",149
"481","ABIE.BAL","9",90
"481","ABIE.BAL","10",0
"483","ABIE.BAL","1",81
"483","ABIE.BAL","2",18
"483","ABIE.BAL","3",138
"483","ABIE.BAL","4",19
"483","ABIE.BAL","5",475
"483","ABIE.BAL","6",1309
"483","ABIE.BAL","7",3194
"483","ABIE.BAL","8",264
"483","ABIE.BAL","9",44
"483","ABIE.BAL","10",0
"484","ABIE.BAL","1",46
"484","ABIE.BAL","2",9
"484","ABIE.BAL","3",106
"484","ABIE.BAL","4",10
"484","ABIE.BAL","5",186
"484","ABIE.BAL","6",704
"484","ABIE.BAL","7",1631
"484","ABIE.BAL","8",104
"484","ABIE.BAL","9",42
"484","ABIE.BAL","10",0
"485","ABIE.BAL","1",62
"485","ABIE.BAL","2",8
"485","ABIE.BAL","3",143
"485","ABIE.BAL","4",11
