"VEG_POT","REG_ECO","ind","supTot","codInd"
"RS2","5e","RS2_5e",1953.0625,335
"FE4","4f","FE4_4f",399.75,336
"MS1","4c","MS1_4c",4.8125,337
"RE2","5e","RE2_5e",172.9375,338
"MJ1","4c","MJ1_4c",2690.0625,339
"RI1","4g","RI1_4g",0.1875,340
"RB1","5e","RB1_5e",0.25,341
"FE3","5e","FE3_5e",22.0625,342
"MF1","5e","MF1_5e",0.1875,343
"MA2","4g","MA2_4g",0.125,344
"RE1","5e","RE1_5e",14.8125,345
"FE3","4b","FE3_4b",1482.5625,346
"LA2","5d","LA2_5d",0.0625,347
"RC3","5b","RC3_5b",0.0625,348
"MS6","5e","MS6_5e",190,349
"MA1","5e","MA1_5e",0.75,350
"RE1","4f","RE1_4f",0.875,351
"RS1","4c","RS1_4c",68.9375,352
"RP1","4c","RP1_4c",41.6875,353
"MJ1","5e","MJ1_5e",0.1875,354
"RE3","5e","RE3_5e",123.125,355
"FE4","4g","FE4_4g",22.25,356
"MF1","4c","MF1_4c",5.5,357
"RS1","5e","RS1_5e",1.8125,358
"FE3","4c","FE3_4c",646.125,359
"MF1","4b","MF1_4b",13.625,360
"MS4","5e","MS4_5e",26.875,361
"FE3","5c","FE3_5c",6.375,362
"MS6","4c","MS6_4c",0.4375,363
"NDI","5c","NDI_5c",0.5,364
"MJ2","3a","MJ2_3a",2498.1875,365
"MA1","4c","MA1_4c",3.25,366
"RS2","3a","RS2_3a",517.3125,367
"MJ1","3a","MJ1_3a",5220.375,368
"FE3","3a","FE3_3a",2229.8125,369
"MF1","3a","MF1_3a",71.125,370
"RC3","3a","RC3_3a",81.375,371
"RE3","3a","RE3_3a",97.3125,372
"RS1","3a","RS1_3a",559.4375,373
"LA1","5e","LA1_5e",0.0625,374
"MS2","3a","MS2_3a",42.9375,375
"RP1","3a","RP1_3a",1152.5,376
"NDI","4c","NDI_4c",1.0625,377
"RC3","5e","RC3_5e",0.1875,378
"MA1","3a","MA1_3a",3.75,379
"RE2","3a","RE2_3a",45.8125,380
"LL2","5e","LL2_5e",0.5,381
"MJ2","5e","MJ2_5e",2,382
"LM2","4f","LM2_4f",0.0625,383
"RC3","4c","RC3_4c",3.125,384
"MJ2","3c","MJ2_3c",3107.5,385
"MJ1","3c","MJ1_3c",5873.625,386
"MS2","3c","MS2_3c",97.6875,387
"RS2","3c","RS2_3c",94.5,388
"MF1","3c","MF1_3c",23.6875,389
"FE3","3c","FE3_3c",2917,390
"RS1","3c","RS1_3c",171.5,391
"RE2","3c","RE2_3c",44.4375,392
"RP1","3c","RP1_3c",139.4375,393
"RE3","3c","RE3_3c",46.625,394
"RB1","4c","RB1_4c",0.0625,395
"RS1","2b","RS1_2b",99.625,396
"RB1","3c","RB1_3c",105.3125,397
"RB1","2b","RB1_2b",80.3125,398
"MJ2","2b","MJ2_2b",1648.875,399
"FE6","3c","FE6_3c",144.375,400
"MJ1","2b","MJ1_2b",2831.9375,401
"MJ1","4f","MJ1_4f",1.25,402
"MS1","2b","MS1_2b",4.25,403
"LM4","2b","LM4_2b",0.0625,404
"MJ2","4f","MJ2_4f",1.4375,405
"MF1","2b","MF1_2b",65.0625,406
"RI1","4b","RI1_4b",0.0625,407
"RP1","2b","RP1_2b",57.9375,408
"FE3","2b","FE3_2b",27.375,409
"RS2","2b","RS2_2b",1.375,410
"RE3","2b","RE3_2b",79.75,411
"FO1","4d","FO1_4d",0.25,412
"FE2","2b","FE2_2b",1242.375,413
"FE6","3a","FE6_3a",1184.375,414
"FE6","4b","FE6_4b",26.5,415
"NDI","4b","NDI_4b",0.8125,416
"FE4","4d","FE4_4d",76.25,417
"FE2","3d","FE2_3d",443.8125,418
"MJ1","3d","MJ1_3d",3851.1875,419
"RB1","3d","RB1_3d",1762.25,420
"FE2","3c","FE2_3c",741.4375,421
"RS1","3d","RS1_3d",631.3125,422
"RC3","3d","RC3_3d",213.375,423
"FE3","3d","FE3_3d",2226.9375,424
"RC3","3c","RC3_3c",27.6875,425
"MS1","3d","MS1_3d",2,426
"MJ2","3d","MJ2_3d",3138.9375,427
"FC1","3a","FC1_3a",324.1875,428
"MS2","3d","MS2_3d",91.9375,429
"RS2","3d","RS2_3d",1.5625,430
"RE3","3d","RE3_3d",102.8125,431
"MJ1","3b","MJ1_3b",3172.5,432
"MJ2","3b","MJ2_3b",757.5,433
"FE3","3b","FE3_3b",2267.5,434
"RS2","3b","RS2_3b",78.25,435
"RC3","3b","RC3_3b",94.25,436
"RS1","3b","RS1_3b",141.3125,437
"FE6","3b","FE6_3b",465.0625,438
"MS2","3b","MS2_3b",34.8125,439
"MF1","3b","MF1_3b",110.375,440
"NDI","3b","NDI_3b",1.6875,441
"FE6","2b","FE6_2b",37.625,442
"MA1","3b","MA1_3b",2.8125,443
"RE3","3b","RE3_3b",22.9375,444
"RB1","3b","RB1_3b",113.1875,445
"FE5","3b","FE5_3b",193.3125,446
"RC3","2b","RC3_2b",43,447
"RP1","3b","RP1_3b",123.25,448
"FE2","3b","FE2_3b",1784.1875,449
"RB1","4b","RB1_4b",0.0625,450
"FO1","3b","FO1_3b",7.875,451
"FE6","3d","FE6_3d",3.375,452
"RE2","3b","RE2_3b",19.9375,453
"MJ2","4d","MJ2_4d",1,454
"MJ1","4d","MJ1_4d",2.6875,455
"MF1","3d","MF1_3d",44.375,456
"FE5","2b","FE5_2b",2.25,457
"FE2","4d","FE2_4d",0.375,458
"FE5","3d","FE5_3d",5.125,459
"RE2","3d","RE2_3d",32.625,460
"FO1","2b","FO1_2b",194.6875,461
"FC1","3b","FC1_3b",57.0625,462
"FE4","2b","FE4_2b",0.25,463
"FE5","3a","FE5_3a",83.125,464
"FE2","3a","FE2_3a",831,465
"MS6","2b","MS6_2b",0.0625,466
"RP1","3d","RP1_3d",13.8125,467
"MF1","2a","MF1_2a",158.75,468
"MJ2","2a","MJ2_2a",11.8125,469
"MA1","3c","MA1_3c",4.125,470
"MJ1","2a","MJ1_2a",1015.625,471
"RB1","2a","RB1_2a",190.3125,472
"RS2","2a","RS2_2a",4.4375,473
"RC3","2a","RC3_2a",65.1875,474
"RE3","2a","RE3_2a",2.8125,475
"FO1","3c","FO1_3c",9.125,476
"FE2","2a","FE2_2a",1209.8125,477
"RS1","2a","RS1_2a",119.0625,478
"RP1","2a","RP1_2a",211.875,479
"FE6","2a","FE6_2a",942.125,480
"FO1","2a","FO1_2a",2.75,481
"NDI","3c","NDI_3c",1.9375,482
"FO1","3a","FO1_3a",1.4375,483
"FC1","2a","FC1_2a",278.4375,484
