spp,sw_hw,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
QUER.RUB,hw,8,0.014,0.054,0.019,1.83,2
QUER.RUB,hw,9,,0.073,0.072,2.004,2
QUER.RUB,hw,10,,0.01,0.01,2,2
THUJ.SPP.ALL,sw,1,,0.345,0.355,2.415,2.65
THUJ.SPP.ALL,sw,2,,0.349,0.5,2.031,2
THUJ.SPP.ALL,sw,3,,0.225,0.144,1.154,2
THUJ.SPP.ALL,sw,4,,0.23,0.144,2.029,2
THUJ.SPP.ALL,sw,5,0.026,0.064,0.037,1.534,2
THUJ.SPP.ALL,sw,6,0.022,0.022,0.015,2.14,2.65
THUJ.SPP.ALL,sw,7,0.004,0.004,0.003,1.231,1
THUJ.SPP.ALL,sw,8,0.0274,0.014,0.019,2.06,2
THUJ.SPP.ALL,sw,9,,0.047,0.072,2.309,2
THUJ.SPP.ALL,sw,10,,0.01,0.01,2,2
TSUG.CAN,sw,1,,0.345,0.355,2.415,2.65
TSUG.CAN,sw,2,,0.349,0.5,2.031,2
TSUG.CAN,sw,3,0.155,0.225,0.144,1.154,2
TSUG.CAN,sw,4,,0.23,0.144,2.029,2
TSUG.CAN,sw,5,0.031,0.064,0.037,1.534,2
TSUG.CAN,sw,6,0.022,0.022,0.015,2.14,2.65
TSUG.CAN,sw,7,0.004,0.004,0.003,1.231,1
TSUG.CAN,sw,8,0.04,0.014,0.019,2.06,2
TSUG.CAN,sw,9,,0.047,0.072,2.309,2
TSUG.CAN,sw,10,,0.01,0.01,2,2
