landtype,spp,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
471,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
471,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
471,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
471,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
471,ABIE.BAL,9,0,0.047,0.072,2.309,2
471,ABIE.BAL,10,0,0.01,0.01,2,2
472,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
472,ABIE.BAL,2,0,0.349,0.5,2.031,2
472,ABIE.BAL,3,0,0.225,0.144,1.154,2
472,ABIE.BAL,4,0,0.23,0.144,2.029,2
472,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
472,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
472,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
472,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
472,ABIE.BAL,9,0,0.047,0.072,2.309,2
472,ABIE.BAL,10,0,0.01,0.01,2,2
473,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
473,ABIE.BAL,2,0,0.349,0.5,2.031,2
473,ABIE.BAL,3,0,0.225,0.144,1.154,2
473,ABIE.BAL,4,0,0.23,0.144,2.029,2
473,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
473,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
473,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
473,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
473,ABIE.BAL,9,0,0.047,0.072,2.309,2
473,ABIE.BAL,10,0,0.01,0.01,2,2
474,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
474,ABIE.BAL,2,0,0.349,0.5,2.031,2
474,ABIE.BAL,3,0,0.225,0.144,1.154,2
474,ABIE.BAL,4,0,0.23,0.144,2.029,2
474,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
474,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
474,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
474,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
474,ABIE.BAL,9,0,0.047,0.072,2.309,2
474,ABIE.BAL,10,0,0.01,0.01,2,2
475,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
475,ABIE.BAL,2,0,0.349,0.5,2.031,2
475,ABIE.BAL,3,0,0.225,0.144,1.154,2
475,ABIE.BAL,4,0,0.23,0.144,2.029,2
475,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
475,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
475,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
475,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
475,ABIE.BAL,9,0,0.047,0.072,2.309,2
475,ABIE.BAL,10,0,0.01,0.01,2,2
477,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
477,ABIE.BAL,2,0,0.349,0.5,2.031,2
477,ABIE.BAL,3,0,0.225,0.144,1.154,2
477,ABIE.BAL,4,0,0.23,0.144,2.029,2
477,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
477,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
477,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
477,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
477,ABIE.BAL,9,0,0.047,0.072,2.309,2
477,ABIE.BAL,10,0,0.01,0.01,2,2
478,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
478,ABIE.BAL,2,0,0.349,0.5,2.031,2
478,ABIE.BAL,3,0,0.225,0.144,1.154,2
478,ABIE.BAL,4,0,0.23,0.144,2.029,2
478,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
478,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
478,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
478,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
478,ABIE.BAL,9,0,0.047,0.072,2.309,2
478,ABIE.BAL,10,0,0.01,0.01,2,2
479,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
479,ABIE.BAL,2,0,0.349,0.5,2.031,2
479,ABIE.BAL,3,0,0.225,0.144,1.154,2
479,ABIE.BAL,4,0,0.23,0.144,2.029,2
479,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
479,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
479,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
479,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
479,ABIE.BAL,9,0,0.047,0.072,2.309,2
479,ABIE.BAL,10,0,0.01,0.01,2,2
480,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
480,ABIE.BAL,2,0,0.349,0.5,2.031,2
480,ABIE.BAL,3,0,0.225,0.144,1.154,2
480,ABIE.BAL,4,0,0.23,0.144,2.029,2
480,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
480,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
480,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
480,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
480,ABIE.BAL,9,0,0.047,0.072,2.309,2
480,ABIE.BAL,10,0,0.01,0.01,2,2
481,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
481,ABIE.BAL,2,0,0.349,0.5,2.031,2
481,ABIE.BAL,3,0,0.225,0.144,1.154,2
481,ABIE.BAL,4,0,0.23,0.144,2.029,2
481,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
481,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
481,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
481,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
481,ABIE.BAL,9,0,0.047,0.072,2.309,2
481,ABIE.BAL,10,0,0.01,0.01,2,2
484,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
484,ABIE.BAL,2,0,0.349,0.5,2.031,2
484,ABIE.BAL,3,0,0.225,0.144,1.154,2
484,ABIE.BAL,4,0,0.23,0.144,2.029,2
484,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
484,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
484,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
484,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
484,ABIE.BAL,9,0,0.047,0.072,2.309,2
484,ABIE.BAL,10,0,0.01,0.01,2,2
485,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
485,ABIE.BAL,2,0,0.349,0.5,2.031,2
485,ABIE.BAL,3,0,0.225,0.144,1.154,2
485,ABIE.BAL,4,0,0.23,0.144,2.029,2
485,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
485,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
485,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
485,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
485,ABIE.BAL,9,0,0.047,0.072,2.309,2
485,ABIE.BAL,10,0,0.01,0.01,2,2
487,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
487,ABIE.BAL,2,0,0.349,0.5,2.031,2
487,ABIE.BAL,3,0,0.225,0.144,1.154,2
487,ABIE.BAL,4,0,0.23,0.144,2.029,2
487,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
487,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
487,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
487,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
487,ABIE.BAL,9,0,0.047,0.072,2.309,2
487,ABIE.BAL,10,0,0.01,0.01,2,2
522,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
522,ABIE.BAL,2,0,0.349,0.5,2.031,2
522,ABIE.BAL,3,0,0.225,0.144,1.154,2
522,ABIE.BAL,4,0,0.23,0.144,2.029,2
522,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
522,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
522,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
522,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
522,ABIE.BAL,9,0,0.047,0.072,2.309,2
522,ABIE.BAL,10,0,0.01,0.01,2,2
528,ABIE.BAL,1,0,0.345,0.355,2.415,2.65
528,ABIE.BAL,2,0,0.349,0.5,2.031,2
528,ABIE.BAL,3,0,0.225,0.144,1.154,2
528,ABIE.BAL,4,0,0.23,0.144,2.029,2
528,ABIE.BAL,5,0.024,0.064,0.037,1.534,2
528,ABIE.BAL,6,0.022,0.022,0.015,2.14,2.65
528,ABIE.BAL,7,0.004,0.004,0.003,1.231,1
528,ABIE.BAL,8,0.027,0.014,0.019,2.06,2
528,ABIE.BAL,9,0,0.047,0.072,2.309,2
528,ABIE.BAL,10,0,0.01,0.01,2,2
432,ACER.RUB,1,0,0.345,0.355,2.415,2.65
432,ACER.RUB,2,0,0.349,0.5,2.031,2
432,ACER.RUB,3,0,0.225,0.144,1.154,2
432,ACER.RUB,4,0,0.23,0.144,2.029,2
432,ACER.RUB,5,0.095,0.064,0.037,1.534,2
432,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
432,ACER.RUB,7,0.004,0.004,0.003,1.231,1
